"","id","timestamp","platform","age","gender","occupation","country","cohabitation","N_USE1","N_USE2","N_USE3","N_USE4","N_USE5","N_USE6","N_USE7","N_USE8","N_USE9","N_USE10","N_USE11","N_USE12","N_USE13","N_USE14","N_USE15","N_USE16","N_USE17","N_USE18","N_USE19","N_USE20","N_USE21","N_USE22","N_subscription","N_motivation","N_share","N_pay","N_lockdown","N_watch","N_frequency","N_pandemic","PV_USE1","PV_USE2","PV_USE3","PV_USE4","PV_USE5","PV_USE6","PV_USE7","PV_USE8","PV_USE9","PV_USE10","PV_USE11","PV_USE12","PV_USE13","PV_USE14","PV_USE15","PV_USE16","PV_USE17","PV_USE18","PV_USE19","PV_USE20","PV_USE21","PV_USE22","PV_subscription","PV_motivation","PV_share","PV_pay","PV_lockdown","PV_watch","PV_frequency","PV_pandemic","device","reasons","influencing_factors"
"20",11,"18/04/2022 22.36.32","Both platforms","36-41","Female","Employed","Canada","I live by myself",6,7,6,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my partner","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Reality TV",5.6,"I use Netflix more since the pandemic started",4,3,5,3,4,2,7,1,3,7,1,7,7,7,7,1,1,2,1,1,1,1,"After the pandemic started (from February, 2020)","I had the possibility to use Prime Video together with other Amazon products","Yes, with my partner","Yes","Yes, I am still a Prime Video's user","Movies",1,"I use Prime Video more since the pandemic started","TV, Laptop, Smartphone","Spend time with your partner/friends/family, Learn something new, Pass the time, Keeping myself up to date with trending content, Release stress, Learn a new language","Cast, Title, Platform recommendations, Award winning shows, New Release, Top 10, Previews"
"21",12,"18/04/2022 22.44.02","Both platforms","30-35","Female","Employed","United Kingdom ","I live with my spouse or partner",6,6,6,4,5,4,7,3,7,7,5,7,7,6,6,4,5,5,5,5,6,6,"Before the pandemic started (before February, 2020)","","Yes, with my family, Yes, with my partner","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",7,"About the same use before and after the pandemic started",4,4,5,2,5,3,6,5,5,2,3,4,5,4,4,3,4,4,3,3,2,3,"After the pandemic started (from February, 2020)","I had the possibility to use Prime Video together with other Amazon products","Yes, with my partner","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series",2,"I use Prime Video more since the pandemic started","TV","Spend time with your partner/friends/family, Learn something new, Pass the time, Release stress","Film director, Title, Platform recommendations, Friends' recommendation, Award winning shows, Top 10"
"22",13,"18/04/2022 22.44.30","Both platforms","18-23","Female","Student, Employed","USA","I live with my parents",7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,6,7,7,"Before the pandemic started (before February, 2020)","","Yes, with my family","No","Yes, I am still a Netflix's user","Movies, TV shows / series",7,"I use Netflix more since the pandemic started",6,7,6,7,7,7,6,7,7,7,7,7,7,7,7,5,3,4,4,3,1,3,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","No","Yes, I am still a Prime Video's user","Movies",1,"About the same use before and after the pandemic","TV, Laptop, Smartphone","Spend time with your partner/friends/family, Release stress","Platform recommendations, Friends' recommendation, Top 10"
"23",14,"18/04/2022 22.46.26","Both platforms","18-23","Male","Student","Italy","I live with my parents",6,6,6,5,5,5,7,6,6,7,6,6,6,6,6,6,6,6,6,6,1,5,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",2.8,"About the same use before and after the pandemic started",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,"Before the pandemic started (before February, 2020)","","No","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",3,"About the same use before and after the pandemic","TV, Desktop PC, Smartphone","Spend time with your partner/friends/family, Learn something new, Pass the time, Keeping myself up to date with trending content","Cast, Film director, Title, Graphics, Platform recommendations, Friends' recommendation, Award winning shows, New Release, Top 10"
"25",15,"18/04/2022 23.13.14","Both platforms","More than 42","Prefer not to say","free spirit","Canada","I live with my spouse or partner",7,7,7,7,5,1,7,5,4,4,6,6,6,6,6,6,6,4,6,6,4,5,"Before the pandemic started (before February, 2020)","Not applicable","No","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",4.2,"About the same use before and after the pandemic started",4,3,3,3,3,1,7,4,4,4,5,6,6,6,6,5,5,4,5,5,4,5,"Before the pandemic started (before February, 2020)","Not applicable","No","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries",7,"About the same use before and after the pandemic","TV","Spend time with your partner/friends/family, Learn something new, Pass the time","Cast, Film director, WRITERS!!!!!!  Writers write the damn thing, they are crucial."
"26",16,"18/04/2022 23.16.01","Both platforms","24-29","Male","Employed","Germany","I live by myself",7,6,6,3,5,6,7,7,7,6,7,6,6,7,7,6,6,6,6,6,4,6,"Before the pandemic started (before February, 2020)","","Yes, with my friends","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",5.6,"About the same use before and after the pandemic started",5,5,6,5,5,5,7,6,5,5,7,6,7,6,6,6,4,5,5,5,2,5,"Before the pandemic started (before February, 2020)","","No","No","No, I have canceled my subscription","Movies, TV shows / series",2,"About the same use before and after the pandemic","TV, Laptop, Tablet, Smartphone","Pass the time","Cast, Film director, Friends' recommendation, New Release"
"27",17,"18/04/2022 23.26.27","Both platforms","24-29","Female","Student, Unemployed","Southeastern US","I live with my parents, I share a flat with roommates",7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,5,7,4,7,6,5,6,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","No","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries",4.2,"I used it the most during the actual lockdown but otherwise my usage hasn’t changed from before/after",7,7,7,4,6,7,7,7,7,7,7,7,7,7,7,6,7,4,7,6,6,6,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","No","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries",4,"Again I used it most during lockdown but otherwise my usage hasn’t changed noticeably ","TV, Laptop, Tablet, Smartphone","Spend time with your partner/friends/family, Learn something new, Pass the time, Release stress","Cast, Friends' recommendation, New Release"
"28",18,"19/04/2022 0.04.14","Both platforms","30-35","Male","Employed","United Kingdom","I live with my spouse or partner",6,6,5,6,5,6,7,6,6,5,7,7,7,6,6,5,5,5,5,4,4,4,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",5.6,"About the same use before and after the pandemic started",5,5,5,4,5,5,5,5,5,5,6,6,6,6,5,5,5,4,4,4,3,3,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","No","Yes, I am still a Prime Video's user","Movies, TV shows / series, Documentaries, Animated films / Cartoons",4,"I use Prime Video less than the time before the pandemic started","TV, Laptop, Tablet, Smartphone","Spend time with your partner/friends/family, Pass the time, Keeping myself up to date with trending content, Release stress","Cast, Film director, Friends' recommendation, Award winning shows, New Release, Top 10"
"29",19,"19/04/2022 0.04.47","Both platforms","30-35","Female","Employed","usa","I live with my spouse or partner",6,6,7,7,5,7,7,7,5,7,7,7,7,7,7,6,7,6,5,6,7,6,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family, Yes, with my partner","Yes, but not the entire fee","Yes, I am still a Netflix's user","Movies, TV shows / series, Animated films / Cartoons",7,"About the same use before and after the pandemic started",5,5,4,4,4,3,7,7,6,7,6,7,7,7,6,4,4,4,4,5,1,3,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my partner","Yes","Yes, I am still a Prime Video's user","TV shows / series, Animated films / Cartoons",1,"About the same use before and after the pandemic","TV","Pass the time, Release stress","New Release, Top 10"
"30",20,"19/04/2022 0.19.10","Both platforms","More than 42","Male","Retired","USA ","I live with my spouse or partner",7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,"Before the pandemic started (before February, 2020)","Not applicable","Yes, with my family","Yes","Yes, I am still a Netflix's user","Movies, TV shows / series",7,"I use Netflix less than the time before the pandemic started",3,3,3,1,4,2,7,4,3,5,4,6,6,5,6,4,4,2,2,2,1,2,"Before the pandemic started (before February, 2020)","","Yes, with my family","Yes","Yes, I am still a Prime Video's user","Movies, TV shows / series",5,"I use Prime Video more since the pandemic started","TV, Tablet","Spend time with your partner/friends/family, Learn something new, Pass the time, Keeping myself up to date with trending content, Release stress","Cast, Friends' recommendation, Award winning shows, New Release"
